"productName","productFinalPrice","discounts","productRealPrice","vendor","location","rate"
"MIE SEDAP Goreng pcs","Rp 2.250","0%","Rp 2.250","BIG MART PALEMBANG","Palembang","5"
"Stick Ayam Crispy","Rp 42.200","0%","Rp 42.200","MM Distributor","Semarang","0"
"INDOMIE Kari Ayam 40 Pcs/ctn","Rp 98.000","0%","Rp 98.000","Toko Dua Satu","Pekanbaru","0"
"Telur ayam ras isi 30","Rp 40.000","0%","Rp 40.000","TOSERBA UDA","Padang","5"
"WAFER VERITOP ISI 30","Rp 60.500","0%","Rp 60.500","CV Wijaya santoso","Surabaya","0"
"INDOMIE Ayam Bawang Dus 240 pcs x 2 Dus","Rp 180.592","0%","Rp 180.592","Ofel Convenience Store","Bekasi","0"
"Mommy NRF","Rp 45.000.000","0%","Rp 45.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Bulbi NRF ThaiNgon","Rp 29.000.000","0%","Rp 29.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Bences NRF Mangon Iq","Rp 37.500.000","0%","Rp 37.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Shogun NRF Mangon","Rp 37.500.000","0%","Rp 37.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Samurai JR NRF Mangon IQ","Rp 33.500.000","0%","Rp 33.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Chili NRF Pakhoy","Rp 45.000.000","0%","Rp 45.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"POP MIE Pedas Dower Rasa Ayam Pedas 20x20gr","Rp 5.500","0%","Rp 5.500","MINANG MART","Padang","0"
"INDOMIE Soto Mie 70GR","Rp 87.500","0%","Rp 87.500","Troceries","Tangerang","0"
"KATUJU Rendang Daging Sapi 250gr / Pouch","Rp 75.000","0%","Rp 75.000","KATUJU INDONESIA","Padang","0"
"INDOMIE Goreng Dus 40 Pcs","Rp 92.000","0%","Rp 92.000","TOKO MILA","Palembang","0"
"INDOMIE Kari Ayam 1 Dus isi 40pcs","Rp 97.000","0%","Rp 97.000","TOSERBA UDA","Padang","5"
"Telur Ayam per 30 butir","Rp 45.000","0%","Rp 45.000","Toko Dua Satu","Pekanbaru","0"
"INDOMIE Goreng Special 85gr 1Karton Isi 40pcs","Rp 90.000","0%","Rp 90.000","Anugerah Jaya Abadi","Banyumas","0"
"AYAM 2 TELOR Mie Telor Regular 200gr","Rp 73.700","0%","Rp 73.700","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"SO NICE Chicken Nugget 250 Gr","Rp 12.500","0%","Rp 12.500","Toko Nenny","Cirebon","5"
"SEDAAP Mie Goreng 40pcs 1 Karton","Rp 89.800","0%","Rp 89.800","BIG MART PALEMBANG","Palembang","5"
"Scandia Choco Chips Coklat 3kg (1 dus isi 4)","Rp 508.700","0%","Rp 508.700","Aladin Jaya","Bandar Lampung","0"
"INDOMIE Goreng Special Plus Isi 40 Pcs","Rp 92.886","0%","Rp 92.886","Double Win","Jakarta Utara","5"
"Lumut Hijau NRF","Rp 55.000.000","0%","Rp 55.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Trad NRF Trad x KhoyNgon","Rp 15.500.000","0%","Rp 15.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Kejora NRF ThaiKhoy","Rp 18.000.000","0%","Rp 18.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Rolas Jr Mangon","Rp 22.000.000","0%","Rp 22.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Speed NRF Mangon","Rp 29.000.000","0%","Rp 29.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Glepok NRF Mangon","Rp 50.000.000","0%","Rp 50.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"pempek","Rp 42.200","0%","Rp 42.200","MM Distributor","Semarang","0"
"ayam rempah","Rp 63.200","0%","Rp 63.200","MM Distributor","Semarang","0"
"BIHUNKU Bihun Instant Soto Spesial 55gr 1 Karton","Rp 72.000","0%","Rp 72.000","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"BIHUNKU Bihun Instant Goreng Spesial 60gr","Rp 83.000","0%","Rp 83.000","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"MIE SEDAAP Ayam Bawang","Rp 81.000","0%","Rp 81.000","UD CEMERLANG","Bandung","0"
"ROMA WAFER SUPERSTAR 12 PCS X 12 BOX","Rp 121.500","0%","Rp 121.500","CV Wijaya santoso","Surabaya","0"
"DJARUM Super","Rp 175.000","0%","Rp 175.000","Maju Mandiri Sejahtera","Tangerang Selatan","0"
"MIE SEDAAP Goreng","Rp 88.000","0%","Rp 88.000","CV Wijaya santoso","Surabaya","0"
"MIE SEDAAP Goreng 40 pcs / ctn","Rp 85.000","0%","Rp 85.000","UD CEMERLANG","Bandung","0"
"INDOMIE Soto Isi 40 Pcs","Rp 87.421","0%","Rp 87.421","Double Win","Jakarta Utara","0"
"Api NRF Burma IQ","Rp 55.000.000","0%","Rp 55.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Rangkas NRF Khoyngon","Rp 20.000.000","0%","Rp 20.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Kalender NRF Mangon IQ","Rp 40.000.000","0%","Rp 40.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Celeng Jr NRF Mangon Iq","Rp 35.000.000","0%","Rp 35.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Yakuza NRF Mangon IQ","Rp 45.000.000","0%","Rp 45.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"KATUJU Rendang Tuna 250gr / Pouch","Rp 75.000","0%","Rp 75.000","KATUJU INDONESIA","Padang","0"
"INDOMIE Goreng 1dus isi 40pcs","Rp 97.000","0%","Rp 97.000","TOSERBA UDA","Padang","5"
"INDOMIE Goreng Dus 40 Pcs","Rp 98.000","0%","Rp 98.000","Toko Dua Satu","Pekanbaru","0"
"chung jung one dried seaweed - myeok 100 gr","Rp 971.500","0%","Rp 971.500","Midas Store","Bekasi","0"
"chung jung one nori 6+3 - rumput laut","Rp 46.700.022","0%","Rp 46.700.022","Midas Store","Bekasi","0"
"SO NICE Chicken Stick 250 gr","Rp 12.500","0%","Rp 12.500","Toko Nenny","Cirebon","5"
"Mie Sedap Soto 75GR","Rp 84.500","0%","Rp 84.500","CV Wijaya santoso","Surabaya","0"
"Scandia Choco Biz Cokelat 1 Kg (isi 6)","Rp 287.100","0%","Rp 287.100","Aladin Jaya","Bandar Lampung","0"
"NONGSHIM Neoguri 30 x 120 Gr","Rp 256.980","0%","Rp 256.980","Warung Sukanda","Bekasi","0"
"NONGSHIM Kimchi Ramyun 16 x 117 Gr","Rp 211.616","0%","Rp 211.616","Warung Sukanda","Bekasi","0"
"Faika Shop Spicy Chicken Mini Isi 15","Rp 21.000","0%","Rp 21.000","Faika Shop","Jakarta Timur","0"
"LAZIZI Rendang Jamur Tiram No Chili 150gr","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"Faika Shop Ebi Furay Isi 12","Rp 34.500","0%","Rp 34.500","Faika Shop","Jakarta Timur","0"
"NONGSHIM Korean Clay Pot Ramyun 24 x 70 Gr","Rp 241.848","0%","Rp 241.848","Warung Sukanda","Bekasi","0"
"LAZIZI Rendang Daging Sapi 150gr","Rp 54.000","0%","Rp 54.000","Pesona Nusantara","Jakarta Barat","0"
"MrJelly Leci 15 gr","Rp 4.000","0%","Rp 4.000","Natura International","Jakarta Barat","0"
"AJWA Kurma Nabi Asli Madinah 1 Kg","Rp 310.000","0%","Rp 310.000","tuppy ceria","Bekasi","0"
"BUNONI Bawang Teri Pedas 100gr","Rp 42.000","0%","Rp 42.000","Pesona Nusantara","Jakarta Barat","0"
"LAZIZI Rica Rica Jamur Tiram 150gr","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"Ramen Gorilla Kuah Kari Super Pedas Instant Noodle","Rp 11.000","0%","Rp 11.000","BKenz","Surabaya","0"
"Ramen Gorilla Yamie Goreng Kari Super Spicy Instant Noodle","Rp 11.000","0%","Rp 11.000","BKenz","Surabaya","0"
"MrJelly Leci 10 gr","Rp 1.600","0%","Rp 1.600","Natura International","Jakarta Barat","5"
"Daily Delight Dog Food Wet Beef 700 Gram","Rp 45.500","0%","Rp 45.500","Haagen Petshop","Jakarta Barat","0"
"Brownies Coklat Blueberry Topping Full Keju yang LEMBUT dan LEZAT","Rp 39.000","0%","Rp 39.000","Teddy Mart","Jakarta Pusat","5"
"MrJelly Stroberi 15 gr","Rp 5.000","0%","Rp 5.000","Natura International","Jakarta Barat","5"
"Abon Sapi","Rp 120.000","0%","Rp 120.000","Toko Ratna","Surakarta (solo)","0"
"MrJelly Stroberi 10 gr","Rp 2.300","0%","Rp 2.300","Natura International","Jakarta Barat","0"
"Faika Shop Dimsum Siomay Udang Isi 10","Rp 17.200","0%","Rp 17.200","Faika Shop","Jakarta Timur","0"
"SR Bawang Merah Goreng Sumenep","Rp 6.700","0%","Rp 6.700","Bawang Goreng SR","Tangerang","0"
"NONGSHIM Shin Ramyun 30 x 120 Gr","Rp 256.980","0%","Rp 256.980","Warung Sukanda","Bekasi","0"
"CANKITA Bawang Goreng 50gr","Rp 20.000","0%","Rp 20.000","Morning Chocolate","Jakarta Barat","5"
"MAMA KIMO Sambal Bawang Baby Cumi","Rp 29.500","0%","Rp 29.500","toserda","Bandung","0"
"Dalmat Pembasmi Segala Macam Kutu","Rp 60.600","0%","Rp 60.600","Haagen Petshop","Jakarta Barat","0"
"Mr Jelly Mangga 10 gr","Rp 1.600","0%","Rp 1.600","Natura International","Jakarta Barat","5"
"MrJelly Mangga 15 gr","Rp 4.000","0%","Rp 4.000","Natura International","Jakarta Barat","5"
"Catering Menu C","Rp 62.000","0%","Rp 62.000","MADANI WEDDING CATERING","Padang","0"
"Kripik Balado 250 gr Panjang Christine Hakim / Sanjai Balado","Rp 23.000","0%","Rp 23.000","Kripik Balado Christine Hakim","Padang","0"
"SRITI Abon Sapi Bawang Besar 2pcs","Rp 52.000","0%","Rp 52.000","Pesona Nusantara","Jakarta Barat","0"
"SRITI Abon Sapi Manis Kecil","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"PUYO Puding Silky Dessert","Rp 11.000","0%","Rp 11.000","Puyo Silky Desserts","Tangerang Selatan","0"
"Dendeng Enaaak Sapi Masak SIAP SANTAP PRAKTIS GURIH MAKNYUS PUAS HALAL - Pedas","Rp 90.000","0%","Rp 90.000","TOSERBU","Jakarta Barat","0"
"Faika Shop Dimsum Siomay Udang Isi 20","Rp 34.500","0%","Rp 34.500","Faika Shop","Jakarta Timur","0"
"SAMYANG Nuclear 2x Spicy","Rp 20.000","0%","Rp 20.000","Morning Chocolate","Jakarta Barat","0"
"CANKITA Bawang Goreng 100gr","Rp 30.000","0%","Rp 30.000","Morning Chocolate","Jakarta Barat","5"
"SAMYANG Spicy Hot Chicken Ramen Buldak 5pcs","Rp 16.000","0%","Rp 16.000","Pink Store","Depok","5"
"SRITI Abon Sapi Bawang Kecil 2pcs","Rp 52.800","0%","Rp 52.800","Pesona Nusantara","Jakarta Barat","0"
"SRITI Abon Sapi Manis Besar","Rp 86.000","0%","Rp 86.000","Pesona Nusantara","Jakarta Barat","0"
"Kurma 250g","Rp 18.000","0%","Rp 18.000","Genki Plant","Jakarta Utara","5"
"Nasi Liwet Instant Beras Merah Isi 3pcs Teri Jambal Cumi","Rp 74.000","0%","Rp 74.000","Pesona Nusantara","Jakarta Barat","0"
"LAZIZI Black Pepper Ayam Suwir 150gr","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"NYEKERMEN Kacang Teri Asin","Rp 72.000","0%","Rp 72.000","Pesona Nusantara","Jakarta Barat","0"
"Leggos Bolognase Pasta Sauce 500gr","Rp 68.000","0%","Rp 68.000","CV. Tigana Sukses","Tangerang","5"
"Leggos Bolognase With Bacon Tomato &amp; Herbs 500gr","Rp 68.000","0%","Rp 68.000","CV. Tigana Sukses","Tangerang","0"
"Faika Shop Shrimp Roll Mini Isi 15","Rp 21.200","0%","Rp 21.200","Faika Shop","Jakarta Timur","0"
"PROMO BUY 1 Get 1 Kanokwan Tom Yum Paste 1000gr","Rp 133.500","0%","Rp 133.500","CV. Tigana Sukses","Tangerang","0"
"PICNIC Cemilan Dodol Garut","Rp 29.290","0%","Rp 29.290","TokoKeren","Jakarta Barat","0"
"Lasagna Ikan Udang 6pcs","Rp 94.000","0%","Rp 94.000","Pesona Nusantara","Jakarta Barat","0"
"Nasi Liwet Instant Beras Organik Isi 3pcs Teri Jambal Cumi","Rp 78.000","0%","Rp 78.000","Pesona Nusantara","Jakarta Barat","0"
"LAZIZI Rendang Sapi Suwir 900gr","Rp 306.000","0%","Rp 306.000","Pesona Nusantara","Jakarta Barat","0"
"NYEKERMEN Ceker Judes Isi 10pcs","Rp 33.000","0%","Rp 33.000","Pesona Nusantara","Jakarta Barat","0"
"MrJelly Anggur 10 gr","Rp 1.600","0%","Rp 1.600","Natura International","Jakarta Barat","5"
"LAZIZI Rendang Daging Sapi No Chili 150gr","Rp 54.000","0%","Rp 54.000","Pesona Nusantara","Jakarta Barat","0"
